iter	Passed	Remaining
0	4	4187
1	8	4083
2	11	3919
3	14	3718
4	18	3651
5	21	3643
6	26	3698
7	29	3618
8	32	3576
9	36	3648
10	40	3686
11	44	3647
12	47	3619
13	51	3596
14	54	3580
15	58	3619
16	62	3588
17	65	3567
18	68	3545
19	72	3561
20	75	3538
21	79	3543
22	83	3557
23	87	3576
24	91	3555
25	94	3525
26	97	3498
27	99	3471
28	103	3460
29	106	3457
30	110	3441
31	113	3431
32	116	3428
33	121	3439
34	124	3438
35	128	3450
36	132	3441
37	135	3434
38	139	3433
39	142	3426
40	146	3419
41	150	3426
42	154	3449
43	158	3449
44	162	3446
45	165	3434
46	170	3461
47	174	3462
48	178	3457
49	182	3461
50	187	3489
51	191	3497
52	195	3489
53	199	3498
54	204	3507
55	207	3505
56	211	3503
57	216	3514
58	221	3527
59	224	3519
60	228	3514
61	233	3527
62	236	3521
63	240	3515
64	244	3511
65	248	3511
66	251	3504
67	254	3490
68	257	3473
69	260	3463
70	265	3472
71	268	3464
72	271	3450
73	274	3440
74	277	3425
75	281	3425
76	284	3414
77	288	3404
78	291	3399
79	295	3402
80	299	3401
81	302	3387
82	305	3377
83	309	3372
84	313	3373
85	317	3369
86	320	3359
87	323	3357
88	328	3361
89	332	3361
90	335	3351
91	338	3342
92	341	3329
93	345	3330
94	349	3324
95	352	3316
96	355	3312
97	359	3313
98	363	3310
99	367	3306
100	370	3297
101	373	3289
102	377	3286
103	380	3277
104	384	3276
105	387	3272
106	391	3271
107	396	3272
108	399	3264
109	402	3253
110	405	3245
111	408	3240
112	411	3233
113	415	3231
114	419	3228
115	423	3225
116	427	3223
117	430	3218
118	434	3213
119	437	3206
120	441	3206
121	444	3202
122	448	3197
123	452	3199
124	459	3214
125	462	3210
126	466	3208
127	471	3212
128	475	3213
129	480	3212
130	483	3207
131	487	3208
132	492	3211
133	496	3206
134	500	3203
135	505	3212
136	510	3214
137	514	3212
138	516	3196
139	521	3202
140	524	3198
141	528	3191
142	531	3185
143	535	3185
144	539	3182
145	543	3177
146	546	3171
147	550	3171
148	554	3169
149	558	3163
150	561	3156
151	565	3154
152	569	3155
153	573	3149
154	576	3145
155	580	3141
156	584	3140
157	588	3135
158	592	3131
159	596	3131
160	601	3133
161	605	3129
162	608	3124
163	611	3119
164	616	3118
165	619	3114
166	623	3108
167	627	3105
168	631	3106
169	635	3104
170	640	3102
171	643	3099
172	648	3099
173	652	3098
174	657	3097
175	661	3095
176	665	3094
177	669	3091
178	673	3089
179	677	3085
180	682	3086
181	686	3084
182	689	3079
183	693	3075
184	697	3073
185	715	3129
186	718	3122
187	720	3112
188	723	3103
189	725	3093
190	728	3086
191	731	3079
192	734	3071
193	737	3062
194	740	3056
195	743	3050
196	747	3046
197	750	3040
198	753	3032
199	756	3024
200	758	3016
201	762	3013
202	766	3007
203	769	3002
204	772	2995
205	775	2987
206	779	2986
207	782	2979
208	785	2973
209	788	2967
210	792	2961
211	795	2955
212	798	2949
213	800	2941
214	803	2934
215	807	2929
216	810	2925
217	813	2918
218	816	2910
219	818	2903
220	821	2896
221	825	2891
222	828	2885
223	830	2878
224	833	2870
225	836	2863
226	839	2857
227	842	2853
228	846	2848
229	849	2843
230	851	2836
231	854	2829
232	858	2824
233	860	2817
234	863	2810
235	866	2804
236	869	2798
237	883	2830
238	886	2822
239	889	2818
240	892	2811
241	895	2804
242	898	2798
243	902	2795
244	906	2792
245	908	2785
246	911	2780
247	914	2774
248	918	2769
249	921	2765
250	924	2759
251	927	2752
252	930	2746
253	933	2740
254	936	2735
255	939	2731
256	942	2726
257	946	2721
258	950	2719
259	954	2718
260	958	2713
261	961	2708
262	965	2704
263	969	2702
264	972	2698
265	975	2693
266	979	2687
267	982	2682
268	990	2692
269	994	2687
270	997	2682
271	1000	2678
272	1003	2673
273	1007	2668
274	1010	2663
275	1013	2658
276	1016	2653
277	1020	2651
278	1023	2645
279	1026	2640
280	1030	2635
281	1033	2632
282	1037	2627
283	1040	2622
284	1043	2616
285	1046	2611
286	1049	2608
287	1053	2605
288	1057	2601
289	1060	2596
290	1063	2590
291	1067	2588
292	1070	2583
293	1073	2578
294	1076	2573
295	1080	2569
296	1083	2564
297	1086	2559
298	1089	2553
299	1092	2548
300	1095	2543
301	1099	2542
302	1102	2537
303	1105	2531
304	1108	2526
305	1111	2521
306	1115	2517
307	1118	2513
308	1121	2507
309	1124	2501
310	1127	2498
311	1131	2494
312	1134	2489
313	1137	2484
314	1139	2478
315	1143	2474
316	1147	2471
317	1150	2466
318	1153	2461
319	1155	2456
320	1159	2452
321	1163	2449
322	1166	2444
323	1169	2439
324	1172	2434
325	1175	2429
326	1178	2425
327	1181	2420
328	1184	2414
329	1187	2410
330	1189	2404
331	1193	2401
332	1196	2396
333	1198	2390
334	1202	2386
335	1204	2381
336	1208	2376
337	1211	2372
338	1214	2367
339	1217	2362
340	1219	2357
341	1222	2352
342	1226	2349
343	1229	2345
344	1232	2340
345	1235	2336
346	1238	2330
347	1242	2327
348	1245	2322
349	1248	2317
350	1250	2312
351	1253	2308
352	1257	2304
353	1260	2300
354	1263	2295
355	1266	2291
356	1269	2286
357	1272	2282
358	1275	2276
359	1278	2272
360	1281	2268
361	1284	2262
362	1286	2258
363	1290	2254
364	1293	2250
365	1296	2245
366	1299	2241
367	1302	2236
368	1305	2232
369	1308	2228
370	1311	2223
371	1314	2218
372	1317	2214
373	1320	2210
374	1324	2206
375	1327	2202
376	1329	2197
377	1332	2193
378	1335	2188
379	1339	2185
380	1342	2181
381	1345	2176
382	1348	2172
383	1351	2168
384	1355	2165
385	1358	2160
386	1361	2155
387	1363	2151
388	1366	2146
389	1370	2143
390	1372	2138
391	1376	2134
392	1379	2129
393	1381	2125
394	1385	2122
395	1388	2118
396	1392	2114
397	1395	2110
398	1398	2105
399	1402	2103
400	1405	2099
401	1408	2095
402	1411	2090
403	1414	2086
404	1417	2082
405	1420	2078
406	1423	2074
407	1426	2069
408	1429	2065
409	1433	2062
410	1436	2058
411	1439	2054
412	1442	2049
413	1445	2045
414	1448	2041
415	1451	2037
416	1453	2032
417	1456	2028
418	1459	2024
419	1462	2019
420	1466	2016
421	1469	2012
422	1472	2008
423	1475	2004
424	1478	2000
425	1482	1997
426	1485	1993
427	1488	1989
428	1491	1985
429	1495	1982
430	1499	1979
431	1502	1974
432	1504	1970
433	1507	1966
434	1510	1962
435	1514	1959
436	1517	1955
437	1520	1951
438	1523	1947
439	1526	1942
440	1529	1938
441	1532	1934
442	1535	1930
443	1538	1927
444	1541	1923
445	1545	1920
446	1548	1916
447	1552	1912
448	1555	1908
449	1558	1904
450	1562	1901
451	1565	1897
452	1568	1894
453	1571	1890
454	1574	1886
455	1578	1882
456	1581	1878
457	1583	1874
458	1586	1870
459	1589	1866
460	1593	1863
461	1595	1858
462	1598	1854
463	1601	1849
464	1603	1845
465	1607	1841
466	1610	1838
467	1613	1834
468	1616	1830
469	1619	1826
470	1623	1823
471	1626	1819
472	1629	1815
473	1632	1811
474	1635	1807
475	1638	1803
476	1642	1800
477	1644	1796
478	1647	1792
479	1650	1788
480	1654	1784
481	1658	1782
482	1661	1778
483	1664	1774
484	1667	1770
485	1670	1767
486	1674	1763
487	1677	1759
488	1680	1755
489	1683	1751
490	1686	1747
491	1689	1744
492	1692	1740
493	1695	1736
494	1699	1733
495	1703	1730
496	1706	1727
497	1709	1723
498	1712	1719
499	1715	1715
500	1718	1711
501	1722	1708
502	1725	1705
503	1728	1701
504	1732	1698
505	1736	1695
506	1740	1692
507	1743	1688
